feature,mean_abs_shap,mean_shap,positive_impact%,rank,direction
POS_DPD_RATE,0.0004520482562954845,-5.728915382197195e-05,72.95,201,↓ Decreases Risk
CC_SK_DPD_MAX,0.00043489985532225566,-0.00015771720074898746,83.35000000000001,202,↓ Decreases Risk
FLAG_DOCUMENT_16,0.00043415448109883494,-2.204815551535761e-05,98.7,203,↓ Decreases Risk
REG_REGION_NOT_LIVE_REGION,0.00038140274505293035,7.997913179641005e-05,96.55,204,↑ Increases Risk
AMT_REQ_CREDIT_BUREAU_DAY,0.0003671918070177031,5.2811867681790566e-05,0.6,205,↑ Increases Risk
BB_STATUS_MAX,0.0003122181161541449,-1.3225698073536065e-06,97.6,206,↓ Decreases Risk
PREV_INTEREST_RATE_MAX,0.00029647004671458436,-5.225286207191308e-05,94.6,207,↓ Decreases Risk
CC_SK_DPD_MEAN,0.0002889477563677815,-2.7939495811074232e-05,57.45,208,↓ Decreases Risk
REG_CITY_NOT_WORK_CITY,0.00026010551611976184,4.092785530246733e-06,71.05,209,↑ Increases Risk
LIVE_CITY_NOT_WORK_CITY,0.00025815344474197454,7.460863166379293e-06,66.7,210,↑ Increases Risk
PREV_INTEREST_RATE_MEAN,0.0002509942273514439,-5.6166951297548206e-05,1.0999999999999999,211,↓ Decreases Risk
INST_CHRONIC_LATE_FLAG,0.00021469499502591537,8.02191374115013e-06,12.950000000000001,212,↑ Increases Risk
FLAG_EMAIL,0.0001519179094818961,2.734011277336148e-05,92.55,213,↑ Increases Risk
FLAG_DOCUMENT_13,0.0001395256955710022,-1.9164458605375272e-05,87.9,214,↓ Decreases Risk
LIVE_REGION_NOT_WORK_REGION,0.00013573778108830998,-3.251147210261099e-05,95.8,215,↓ Decreases Risk
EMERGENCYSTATE_MODE,9.612093769653891e-05,3.60365824750098e-06,39.85,216,↑ Increases Risk
FLAG_DOCUMENT_14,9.258994810969995e-05,-3.76521147112646e-06,98.9,217,↓ Decreases Risk
FLAG_DOCUMENT_9,7.377927980519406e-05,1.368291826344486e-06,99.65,218,↑ Increases Risk
FLAG_DOCUMENT_11,6.397141305516292e-05,8.898893499476707e-06,99.55000000000001,219,↑ Increases Risk
FLAG_DOCUMENT_6,2.9235522173212774e-05,-3.0855066769484173e-06,9.45,220,↓ Decreases Risk
FLAG_DOCUMENT_19,0.0,0.0,0.0,221,↓ Decreases Risk
FLAG_DOCUMENT_20,0.0,0.0,0.0,222,↓ Decreases Risk
FLAG_DOCUMENT_21,0.0,0.0,0.0,223,↓ Decreases Risk
FLAG_DOCUMENT_17,0.0,0.0,0.0,224,↓ Decreases Risk
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0.0,0.0,225,↓ Decreases Risk
FLAG_DOCUMENT_10,0.0,0.0,0.0,226,↓ Decreases Risk
FLAG_DOCUMENT_12,0.0,0.0,0.0,227,↓ Decreases Risk
FLAG_DOCUMENT_15,0.0,0.0,0.0,228,↓ Decreases Risk
FLAG_DOCUMENT_7,0.0,0.0,0.0,229,↓ Decreases Risk
FLAG_DOCUMENT_5,0.0,0.0,0.0,230,↓ Decreases Risk
FLAG_DOCUMENT_4,0.0,0.0,0.0,231,↓ Decreases Risk
FLAG_DOCUMENT_2,0.0,0.0,0.0,232,↓ Decreases Risk
FLAG_MOBIL,0.0,0.0,0.0,233,↓ Decreases Risk
FLAG_CONT_MOBILE,0.0,0.0,0.0,234,↓ Decreases Risk
BUREAU_OVERDUE_FLAG,0.0,0.0,0.0,235,↓ Decreases Risk
PREV_CANCELLED_COUNT,0.0,0.0,0.0,236,↓ Decreases Risk
BB_DPD_CREDIT_RATIO,0.0,0.0,0.0,237,↓ Decreases Risk
PREV_REFUSED_FLAG,0.0,0.0,0.0,238,↓ Decreases Risk
POS_ANY_DPD_FLAG,0.0,0.0,0.0,239,↓ Decreases Risk
INST_LATE_PAYMENT_FLAG,0.0,0.0,0.0,240,↓ Decreases Risk
CC_ANY_DPD_FLAG,0.0,0.0,0.0,241,↓ Decreases Risk
CC_OVER_LIMIT_FLAG,0.0,0.0,0.0,242,↓ Decreases Risk
EXT_SOURCE_1_MISSING,0.0,0.0,0.0,243,↓ Decreases Risk
EXT_SOURCE_2_MISSING,0.0,0.0,0.0,244,↓ Decreases Risk
EXT_SOURCE_3_MISSING,0.0,0.0,0.0,245,↓ Decreases Risk
EXT_SOURCE_MEAN_MISSING,0.0,0.0,0.0,246,↓ Decreases Risk
AMT_ANNUITY_MISSING,0.0,0.0,0.0,247,↓ Decreases Risk
AMT_GOODS_PRICE_MISSING,0.0,0.0,0.0,248,↓ Decreases Risk
BUREAU_AMT_OVERDUE_MAX_MISSING,0.0,0.0,0.0,249,↓ Decreases Risk
INST_DAYS_LATE_MEAN_MISSING,0.0,0.0,0.0,250,↓ Decreases Risk
YEARS_EMPLOYED_MISSING,0.0,0.0,0.0,251,↓ Decreases Risk
CC_UTILISATION_MEAN_MISSING,0.0,0.0,0.0,252,↓ Decreases Risk
